"
                    2009-02-02
                ",私享史,Three Different Women. Each Living a Lie.简而言之呢，就是这部作品用非常娴熟的电影语言讲述了一个简单而深刻的道理。对我而言没有什么感觉。
"
                    2015-07-29
                ",荒木,为什么“如愿以偿的死了”不可以被歌颂，为什么只有“战胜死亡”才是可歌可泣的。
"
                    2006-10-19
                ",匡匡,"Dear Leonard, to look life in the face, always. To look life in the face, and to know it for what it is. At last to know it, to love it, for what it is. And then,  to put it away. Leonard, always the years between us, always the years, always the love, always the hours."
"
                    2006-03-22
                ",kingfish,"妮可演的伍尔芙,很入神."
"
                    2007-02-23
                ",柳具足,Julianne Moore 的那个角色感人。
"
                    2008-08-06
                ",芦哲峰,三个女人A、B、C在不同时空里生活，挣扎在爱、自由与死之间。一本书穿插其中，成为纽带——《达洛卫夫人》，A是这本书的作者，A正在创作它；B在阅读它，并深受其影响；C被患了爱滋病的诗人男友唤作达洛卫夫人，C的生活与书中同名女主人公的生活恰好有着重合之处——着迷于这种三段式的结构。
"
                    2010-04-11
                ",理想多钱一斤啊,深刻有余，乐趣不足
"
                    2015-08-15
                ",凶兆,高逼格文艺佳片！言之有物，不装逼。同理，可拍个男版：三个不同时空中的男人，身为社会舆论定位该做的角色，他们是成功的商人、父亲、战士，etc，但是某一天，命运的车轮开始转动——这不是他们想要的人生，之前的人生只是做“别人家的孩子”，他们真正的自我是：基佬。
"
                    2007-06-08
                ",：）,在黑暗中，我独自忍受恐惧。
"
                    2008-03-28
                ",眼角的花朵,"我们的生活由一组不规则庸俗无奈无聊的事构成我们每天都在重复着昨天做的事仿佛这个重复没有开始也不会结束但一些事情却在平凡的天天中确实发生会觉得心被禁锢想要自由不甘平淡的生活但是我觉得这便是生活真面目唯可解决办法就是自己制造惊喜生老病死是一个轮回的圆我们总得活也总得死活法和死法是我们可以选择的孤单和寂寞我比谁都清楚若是有颗不甘于寂寞的心那便很难过一旦有了欲望他的心变会污浊便会烦烦躁不安于一个女人说一旦她拥有了对爱情幸福家庭的期许她的心会变不安有了爱想要更多欲望得不到满足变越想要越空虚
"
"
                    2008-05-31
                ",BOSS米我要,实际受到的触动远没有本以为受到的触动大。或许该找个安静的时间重新看一遍。
"
                    2016-11-04
                ",狷介有乌青,当灵魂与这个世界格格不入，一件再微小的事也能摧垮肉体的意志，远离它，摧毁它，不用再臣服于这世间的所有准则。而你，只是不甘平凡
"
                    2005-08-24
                ",影志,Always the love，always the hours. 我以为，这只是幸福的开始，而这其实就是幸福。这转瞬之间。/ 亲爱的伦纳德，要直面人生，永远要直面人生，了解它的本质。最后，认清它，热爱它的本质。然后，从中得到解脱。伦纳德，永远记住我们之间的岁月，那些岁月，永远记住我们的爱。And the hours... ——弗吉妮娅·伍尔芙
"
                    2011-04-21
                ",胤祥,其实有空间做得更好，如果时空交错和匹配剪辑像前十五分钟那样一直延续下去，而不是仅仅作为噱头。看起来这部片子在某种意义上审判了女性解放（疯女人自杀，抛弃丈夫和孩子的女人孤独一生儿子同性恋加艾滋病，斯特里普愿望落空），唔，说到底还是演技好。
"
                    2011-10-27
                ",Q。,“我当时想，这就是幸福的开始。我没有想到，这就是幸福，幸福就在一瞬间。”三个癫狂的女人，一股极致的病态的美。虽说除原声外各方面都不讨我喜欢，但不可否认这是一部十分富有艺术气质的上乘之作。即便化妆得再厉害，但气质、眼神，一颦一笑，还是很容易让人认出那个漂亮的妮可·基德曼。★★★★
"
                    2017-04-25
                ",我是谁你又是谁,有些东西值得失去，因为我们永远会记得
"
                    2013-04-04
                ",曾于里,重看，带有相当强烈的女性主义诉求。抛下所有，选择你想选择的，这需要太大的勇气。
