"
                    2009-06-19
                ",马克爱马克,曾经，我因为他的简单，给他打了三星。现在，我因为他的单纯，要给他10星。我老了
"
                    2011-06-11
                ",萨嘎摩多熊猫桑,回忆只能换回近乎残酷的惋惜——我怀念过去，却毫不怀念现在的你。
"
                    2009-11-09
                ",桃桃林林,"I never had any friends later on like the ones I had when I was twelve. Jesus, does anyone?” 
用情节丰满人物，这是每个编剧都该学的基本功。"
"
                    2016-03-28
                ",柴斯卡,和心迷宫很像 围绕一桩死亡 展现一个走下坡路的镇子 讲故事和大孩子段落强调了这种绝望 这种成长环境令斯蒂芬金投向恐怖文学 有幸拥有天资的人努力想逃出怪圈循环  从他们的视角看过去其他人有些可怜 小团伙永远由领袖+军师+疯子+傻子组成 只有带头的两个惺惺相惜 以更有代入感的死亡平添惆怅
"
                    2016-06-09
                ",大-燕-威-王,能理解这种感觉：少年时期的好朋友不会陪伴你一生，但他们是你这辈子交过的最好的朋友。
"
                    2010-01-04
                ",UrthónaD'Mors,"阴影也好，回忆也罢，越是久远，是否对于后半生的碰撞越是深刻？或许等到我老了的那一天，也会像戈多坐在打字机前，那般惆怅？ 
噢，童年，伙伴…… 
"
"
                    2010-12-07
                ",Doublebitch,觉得很残酷，就像eason歌里唱的，“为何旧知己在最后变不到老友”，但还是感谢这场不可思议的相遇 ps：竟然是1986年8月的巨蟹座电影，年纪跟我一样大，果然具有巨蟹座特有的温情脉脉
"
                    2011-07-17
                ",[已注销],壞孩子不代表就不懂友誼與童年，也許他們擁有更可貴的友誼。12歲你去和誰冒險過？走過樹林，爬上軌道，被火車追，掉在臟池塘里被水蛭嚇得半死，拿著裝有子彈的手槍，4個人加起來揣著3元幾分錢。。。
"
                    2011-06-07
                ",皮革业,12岁没有朋友，这辈子也就没了。
"
                    2014-11-23
                ",朝暮雪,“这正是我这年龄该做的事，我一辈子只年轻一次。”2014.11.23泸定县冷碛镇
"
                    2011-05-01
                ",Q。,"“I never had friends later on like the ones I had when I was twelve. Jesus, does anyone?”电影简简单单，一如儿时的友谊，却难寻觅。★★★★"
"
                    2011-10-15
                ",沉歌,同龄男孩的尸体宣告他们的童年也在这天死去
"
                    2006-10-30
                ",影志,每个人都有自己可望而不可及的梦想……“虽然我和他已十年不见，我知道我会永远怀念他。我后来再也没交到像十二岁时那帮人一样好的朋友，也许每个人都是如此吧？” 
"
                    2016-12-17
                ",不贰,"不要走在我后面，因为我可能不会引路， 
不要走在我前面，因为我可能不会跟随； 
请走在我的身边，做我的朋友。也许以后，我们再也交不到十二岁时遇到的那群朋友。"
"
                    2009-08-21
                ",蚂蚁没问题,When the night has come，And the land is dark，And the moon is the only Light we'll see，Oh I won't be afraid，Just as long as you stand by me
"
                    2008-09-06
                ",Hazel,永远stand by us的朋友能有几个？
"
                    2011-01-01
                ",容安,“你可以去你任何想去的地方”。“我再也没有交过12岁的这种朋友。老天，是不是每个人都这样？”是的，真的就是这样。
"
                    2015-05-20
                ",疼棉棉,小孩儿们演的真好。为自己难过，12岁时都没朋友。
"
                    2011-02-21
                ",Bunnyman,太真实了。有些朋友你和他们度过了一段难忘的时期，但之后就再也有了联系
"
                    2017-03-07
                ",Chan,最后那段旁白一出来，直接爆哭。朋友啊，陪你走过一段路，慢慢失去了联系，但你会永远想念他们。世界变小了，是因为自己长大了
"
                    2008-11-14
                ",晚安小姐,朋友和敌人一样，越少越好，几个就足够。
"
                    2011-12-28
                ",陀螺凡达可,整部电影想要表达的关于青春与成长的忧郁孤独迷茫，全在River Phoenix的双眸里面了。
"
                    2016-06-12
                ",冰红深蓝,“虽然我和他已十年不见，我知道我会永远怀念他。我后来再也没交到像十二岁时那帮人一样好的朋友，也许每个人都是如此吧？” 瑞凡·菲尼克斯的表演加分。| 寻尸体，躲火车，翻铁栅，越森林，大胃王比赛与呕吐的复仇故事。PS：罗伯·莱纳的作品中，还是最爱《当哈利遇到莎莉》。（8.0/10）
"
                    2013-08-09
                ",Panda的阴影,一看片子的风格，就有种似曾相识的感觉，哦，对了，就是和我曾经大力宣传过的、我相当喜欢的《怦然心动》风格类似，然后，查了下导演，啊，罗伯·莱纳Rob Reiner，同一个导演，难怪了。回到这片子，故事不甚喜爱，吃派吐人那段好恶心，最后想表示一下：我很庆幸我在现在仍能交到像儿时那般珍贵的朋友。
"
                    2015-03-22
                ",有心打扰,每个人的童年里，都有几个死党和一场记忆铭心的冒险。
"
                    2010-08-28
                ",内陆飞鱼,就像电影中一样，我会永远记得自己12岁那年，夏日的草木之中渗漏下来的阳光。
"
                    2009-05-09
                ",大头绿豆,"沿着铁轨成长。“我珍视此刻。”Wil和River到后边有点Gay。杰克鲍尔在里边演了个小流氓。几个小孩演技都很好。可惜River23岁就死于吸毒过量， outside the Viper Room, Johnny Depp's Los Angeles club"
"
                    2015-07-31
                ",左胸上的吸盘,四个少年，凤凰河跟男二号演的还行，其他两位就弱了。这故事老实没什么意思，另外一些细节的处理太粗糙了：挖了九个月但没什么差别的满地土坑、衣服里塞了一堆填充物装胖子的演员、藏在嘴边的橡胶管完成的呕吐戏、合成的火车逼近的惊险镜头……这些粗陋的处理到处都是，怀疑剧组有没有拿出一点诚意？
"
                    2013-01-21
                ",维城乱马,上哪找的这么一帮少年老成演技精湛的孩子……
